Artist Name, Track Name, Year, Genre, Link
Abdullah Ibrahim, Mannenberg, 1974, Jazz, https://www.youtube.com/watch?v=-irE1AEH8Qg
James Brown, Funky Drummer, 1969, Funk, https://www.youtube.com/watch?v=AoQ4AtsFWVM
Mulatu Astatke, Yèkèrmo Sew, 1972, Jazz, https://www.youtube.com/watch?v=jwdBRqIsVUY
James Brown, Give It Up or Turnit a Loose, 1969, Funk, https://www.youtube.com/watch?v=MtPOpre61NI
Mulatu Astatke, Tezeta, 1975, Jazz, https://www.youtube.com/watch?v=Wy-v-FgiUD8
James Brown, Cold Sweat, 1967, Funk, https://www.youtube.com/watch?v=tvltTXEg5kI
Ebo Taylor, Love and Death, 1977, Funk, https://www.youtube.com/watch?v=IuTVjbccVFg
William Onyeabor, Good Name, 1980, Funk, https://www.youtube.com/watch?v=TT2kLk0jnrg
James Brown, The Payback, 1973, Funk, https://www.youtube.com/watch?v=1cBZcpSeiFc
Cymande, Brothers on the Slide, 1974, Funk, https://www.youtube.com/watch?v=m4WY2VAQNjk
James Brown, Super Bad, 1970, Funk, https://www.youtube.com/watch?v=LJ9CLOEOB5U
Manu Dibango, Soul Makossa, 1972, Funk, https://www.youtube.com/watch?v=aWK_Josc0Og
James Brown, Soul Power, 1971, Funk, https://www.youtube.com/watch?v=3MsBs9QEwWc
Hugh Masekela, Stimela, 1974, Jazz, https://www.youtube.com/watch?v=FE1vSjikzEQ
James Brown, Get Up (I Feel Like Being a) Sex Machine, 1970, Funk, https://www.youtube.com/watch?v=ZNaXb3uuekk
Nina Simone, Sinnerman, 1965, Jazz, https://www.youtube.com/watch?v=QH3Fx41Jpl4
James Brown, Papa's Got a Brand New Bag, 1965, Funk, https://www.youtube.com/watch?v=QE5D2hJhacU
Nina Simone, "Ain't Got No, I Got Life", 1968, Soul, https://www.youtube.com/watch?v=L5jI9I03q8E
James Brown, I Got You (I Feel Good), 1965, Soul, https://www.youtube.com/watch?v=pTdihu-mp90
Nina Simone, "To Be Young, Gifted and Black", 1969, Soul, https://www.youtube.com/watch?v=RTGiKYqk0gY
James Brown, There Was a Time, 1968, Funk, https://www.youtube.com/watch?v=T0k5USzHw7g
Gil Scott-Heron, Lady Day and John Coltrane, 1971, Soul, https://www.youtube.com/watch?v=7aRNUsmfeck
James Brown, Say It Loud – I'm Black and I'm Proud, 1968, Funk, https://www.youtube.com/watch?v=4hj1iWqoYEc
Gil Scott-Heron, We Almost Lost Detroit, 1977, Soul, https://www.youtube.com/watch?v=cpNUqNe0U5g
James Brown, Mother Popcorn, 1969, Funk, https://www.youtube.com/watch?v=5eoSXpNZD9o
The Last Poets, This Is Madness, 1971, Soul, https://www.youtube.com/watch?v=GY6OyyC5Y2s
James Brown, Licking Stick – Licking Stick, 1968, Funk, https://www.youtube.com/watch?v=R9tgnn7kyQE
Donny Hathaway, The Ghetto, 1970, Soul, https://www.youtube.com/watch?v=WkfTLnE5Vtk
James Brown, Talkin' Loud and Sayin' Nothing, 1972, Funk, https://www.youtube.com/watch?v=ObdMpqvha_g
Curtis Mayfield, (Don't Worry) If There's a Hell Below We're All Going to Go, 1970, Soul, https://www.youtube.com/watch?v=x1xmXOP3lhM
James Brown, Hot Pants, 1971, Funk, https://www.youtube.com/watch?v=lehBlK2MrD8
Curtis Mayfield, We People Who Are Darker Than Blue, 1970, Soul, https://www.youtube.com/watch?v=iSDCPKsSf2U
Marvin Gaye, Inner City Blues (Make Me Wanna Holler), 1971, Soul, https://www.youtube.com/watch?v=p_PxgSQ9Vf4
The Impressions, We're a Winner, 1967, Soul, https://www.youtube.com/watch?v=uLMRzDFMvEo
Marvin Gaye, What's Going On, 1971, Soul, https://www.youtube.com/watch?v=H-kA3UtBj4M
Bobby Womack, I Can Understand It, 1971, Soul, https://www.youtube.com/watch?v=Hipe48EvG3o
Marvin Gaye, Trouble Man, 1972, Soul, https://www.youtube.com/watch?v=6kduvcqx-BU
Isaac Hayes, Never Can Say Goodbye, 1971, Soul, https://www.youtube.com/watch?v=bJpN1Jf2I50
Marvin Gaye, Mercy Mercy Me (The Ecology), 1971, Soul, https://www.youtube.com/watch?v=efiDnHS3fzk
Isaac Hayes, Do Your Thing, 1972, Soul, https://www.youtube.com/watch?v=gcq9ZtJ9tfU
Marvin Gaye, I Want You, 1976, Soul, https://www.youtube.com/watch?v=bGobofgSM3Q
Marvin Gaye, Save the Children, 1971, Soul, https://www.youtube.com/watch?v=E1KqO8YtXlY
Marvin Gaye, Got to Give It Up, 1977, Soul, https://www.youtube.com/watch?v=jkCUWNbTiA4
Marvin Gaye, Flyin' High (In the Friendly Sky), 1971, Soul, https://www.youtube.com/watch?v=piHWpH5cyrQ
Marvin Gaye, Let's Get It On, 1973, Soul, https://www.youtube.com/watch?v=AqPBfbLoF_M
Al Green, How Can You Mend a Broken Heart, 1972, Soul, https://www.youtube.com/watch?v=r0qmJoav5rE
Marvin Gaye, Sexual Healing, 1982, R&B, https://www.youtube.com/watch?v=rjlSiASsUIs
Al Green, Tired of Being Alone, 1971, Soul, https://www.youtube.com/watch?v=7ll7ocQbH_k
Isaac Hayes, Theme from Shaft, 1971, Soul, https://www.youtube.com/watch?v=Q429AOpL_ds
Willie Hutch, Brother's Gonna Work It Out, 1973, Soul, https://www.youtube.com/watch?v=iBvTU-dSuAY
Isaac Hayes, Hyperbolicsyllabicsesquedalymistic, 1969, Soul, https://www.youtube.com/watch?v=FCzElCx_LK8
Syl Johnson, I Only Have Love, 1968, Soul, https://www.youtube.com/watch?v=u7RLI14pV34
Isaac Hayes, By the Time I Get to Phoenix, 1969, Soul, https://www.youtube.com/watch?v=wNLXEcSTy-A
The Staple Singers, Heavy Makes You Happy, 1971, Soul, https://www.youtube.com/watch?v=HA9BKNUmV2c
Isaac Hayes, Walk On By, 1969, Soul, https://www.youtube.com/watch?v=PGmDz60gizs
James Brown, Bring It Up, 1967, Funk, https://www.youtube.com/watch?v=IYqBIvbMde8
Isaac Hayes, Ike's Rap II, 1971, Soul, https://www.youtube.com/watch?v=qfVbrPoLc3w
James Brown, I Feel Like Being a Sex Machine Pt. 2, 1970, Funk, https://www.youtube.com/watch?v=hY_LBqmyNrk
Curtis Mayfield, Move On Up, 1970, Soul, https://www.youtube.com/watch?v=A9RMr9KuVZo
James Brown, Escape-Ism, 1971, Funk, https://www.youtube.com/watch?v=wnUM34orQ0M
Curtis Mayfield, Superfly, 1972, Soul, https://www.youtube.com/watch?v=muLcm3_JSR4
James Brown, Make It Funky, 1971, Funk, https://www.youtube.com/watch?v=SDeCvChCw64
Curtis Mayfield, Pusherman, 1972, Soul, https://www.youtube.com/watch?v=hCDAfa-NI-M
James Brown, Doing It to Death, 1973, Funk, https://www.youtube.com/watch?v=NNw2F_LevVU
Curtis Mayfield, Freddie's Dead, 1972, Soul, https://www.youtube.com/watch?v=esIQyaGEUFU
The Meters, Tippi-Toes, 1969, Funk, https://www.youtube.com/watch?v=COkssdGYrK8
Curtis Mayfield, Give Me Your Love, 1973, Soul, https://www.youtube.com/watch?v=tL_FKAo2V5M
The Meters, Live Wire, 1969, Funk, https://www.youtube.com/watch?v=D9IGwqUAwdU
The Meters, Cissy Strut, 1969, Funk, https://www.youtube.com/watch?v=MXI5Nuz6OHg
Kool & the Gang, Let the Music Take Your Mind, 1970, Funk, https://www.youtube.com/watch?v=iJfKHFrpfzw
The Meters, Look-Ka Py Py, 1969, Funk, https://www.youtube.com/watch?v=uwzBZQX2cqQ
Kool & the Gang, Raw Hamburger, 1971, Funk, https://www.youtube.com/watch?v=6CiJSm0dsAo
The Meters, Ease Back, 1969, Funk, https://www.youtube.com/watch?v=oFaA816BUPg
Parliament, Aqua Boogie, 1978, Funk, https://www.youtube.com/watch?v=zBVNOrV0Pr4
The Meters, Sophisticated Cissy, 1968, Funk, https://www.youtube.com/watch?v=wEm_sj6k6lI
Parliament, Sir Nose D'Voidoffunk, 1977, Funk, https://www.youtube.com/watch?v=sTZtbzgYOZk
The Meters, Africa, 1974, Funk, https://www.youtube.com/watch?v=jUsaFwziKww
Funkadelic, Alice in My Fantasies, 1978, Funk, https://www.youtube.com/watch?v=HfT-uD4IjKM
The Meters, Just Kissed My Baby, 1974, Funk, https://www.youtube.com/watch?v=ZoBIp817miY
Bootsy Collins, "Ahh... The Name Is Bootsy, Baby!", 1977, Funk, https://www.youtube.com/watch?v=8abYLA5zEkM
The Meters, People Say, 1974, Funk, https://www.youtube.com/watch?v=6QYbZsBPawI
Fred Wesley & The JBs, Damn Right I Am Somebody, 1974, Funk, https://www.youtube.com/watch?v=9V9VVJBSPp8
The Meters, Hand Clapping Song, 1969, Funk, https://www.youtube.com/watch?v=iBuyAL-otK4
The J.B.'s, Same Beat, 1975, Funk, https://www.youtube.com/watch?v=qTeSH-ijTgQ
The Meters, Cabbage Alley, 1972, Funk, https://www.youtube.com/watch?v=x4pq1Pn45ug
Lyn Collins, Me and My Baby Got a Good Thing Going, 1975, Funk, https://www.youtube.com/watch?v=NkmWSP3mgIU
Sly & The Family Stone, Sing a Simple Song, 1968, Funk, https://www.youtube.com/watch?v=k4qqNl_nsUQ
Bobby Byrd, I Need Help (I Can't Do It Alone), 1970, Funk, https://www.youtube.com/watch?v=1Qsd3ffKKpc
Sly & The Family Stone, Everyday People, 1968, Soul, https://www.youtube.com/watch?v=3JvkaUvB-ec
Herbie Hancock, Actual Proof, 1974, Jazz, https://www.youtube.com/watch?v=6x3QtLCAPp8
Sly & The Family Stone, Thank You (Falettinme Be Mice Elf Agin), 1969, Funk, https://www.youtube.com/watch?v=wj5VODa-eTY
Herbie Hancock, Nobu, 1975, Jazz, https://www.youtube.com/watch?v=WpN2snjHw4Y
Bobby Byrd, I Know You Got Soul, 1971, Funk, https://www.youtube.com/watch?v=FjredhbTnng
Donald Byrd, Black Byrd, 1972, Jazz, https://www.youtube.com/watch?v=IMGfk83k9s4
Bobby Byrd, "Hot Pants (I'm Coming, Coming, I'm Coming)", 1971, Funk, https://www.youtube.com/watch?v=a-uo16HXoSU
The Blackbyrds, Happy Music, 1976, Jazz, https://www.youtube.com/watch?v=JOunZQRUWC4
Fred Wesley & The JBs, Blow Your Head, 1974, Funk, https://www.youtube.com/watch?v=HNODqOk01Ls
Lonnie Liston Smith, Aspirations, 1976, Jazz, https://www.youtube.com/watch?v=u5FFopHPVUQ
Fred Wesley & The JBs, House Party, 1973, Funk, https://www.youtube.com/watch?v=eNjT1OBU7E0
Roy Ayers, He's Coming, 1972, Jazz, https://www.youtube.com/watch?v=SO32Lu3E5NA
Lyn Collins, Think (About It), 1972, Funk, https://www.youtube.com/watch?v=HKix_06L5AY
Bob James, Heads, 1977, Jazz, https://www.youtube.com/watch?v=T4iJlIieHZo
Kool & the Gang, Jungle Boogie, 1973, Funk, https://www.youtube.com/watch?v=QGKiC2suCHQ
Grover Washington Jr., Knucklehead, 1975, Jazz, https://www.youtube.com/watch?v=lXAkxPpOphY
Kool & the Gang, N.T., 1972, Funk, https://www.youtube.com/watch?v=-83Zkvt6vsM
Tom Browne, Thighs High (Grip Your Hips and Move), 1980, Jazz, https://www.youtube.com/watch?v=RvlB8OEMBJc
Kool & the Gang, Funky Stuff, 1973, Funk, https://www.youtube.com/watch?v=4kz0GIJbwIo
Ramsey Lewis, Goin' Latin, 1967, Jazz, https://www.youtube.com/watch?v=ffQtlaqzpNA
Kool & the Gang, Hollywood Swinging, 1974, Funk, https://www.youtube.com/watch?v=YK-cvcw3ngM
Ohio Players, Funky Worm, 1972, Funk, https://www.youtube.com/watch?v=bSIb4T5vu9E
Ohio Players, Skin Tight, 1974, Funk, https://www.youtube.com/watch?v=5Smb9DkYDr8
