title,channel,genre,era,url,tags
Paul Nero - This Is Soul (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=hTgYfA-4l10,drum-break-youtube-ingest
Ronnie Von - Esperança De Cantar (Drum Break - Loop),Armando Drum Breaks,soul,1960s,https://www.youtube.com/watch?v=Vfb3GqDLKxI,drum-break-youtube-ingest
Les Lutins - La Junglomanie (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=0JKTKy6yPXM,drum-break-youtube-ingest
Great Western - Stop! In the Name of Love - Drum Break,drumbreakhunter,soul,1960s,https://www.youtube.com/watch?v=SX1_Hj3TJuE,drum-break-youtube-ingest
The Jules Blattner Group - 2001: A Soul Odyssey (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=EFEnHApb79w,drum-break-youtube-ingest
The Showmen Inc. - The Tramp Part 1 [From Funky Broadway] (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=nnRSjIyYR7o,drum-break-youtube-ingest
Count Basie and His Orchestra - Hang On Sloopy (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=BsZjGEDGz7Y,drum-break-youtube-ingest
"Wilbur Bascomb and The Zodiact - Just A Groove In ""G"" (Drum Break - Loop)",Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=Ie0_r12ByPk,drum-break-youtube-ingest
Sparks - Beat The Clock (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=L407NPvZahw,drum-break-youtube-ingest
John O' Hara & The Famous Playboys - Funky Nassau - Drum Break,funkprovida2,funk,1960s,https://www.youtube.com/watch?v=8upjQO4K_us,drum-break-youtube-ingest
Lalo Schifrin - The Man From Thrush (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=0OlRvcgJvbA,drum-break-youtube-ingest
The New Birth - Comin' From All Ends (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=W_xOU1EvTZ0,drum-break-youtube-ingest
The Nashville Teens - Bread and Butter Man - Drum Break,drumbreakhunter,soul,1960s,https://www.youtube.com/watch?v=Zmrd9b8IIdY,drum-break-youtube-ingest
Syd Dale - Early Morning 5th Avenue (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=dqO3HSYBTTU,drum-break-youtube-ingest
He 6 - Get Ready (Drum Break - Loop),Unknown,jazz,1960s,https://www.youtube.com/watch?v=yNXBStOF8H8,drum-break-youtube-ingest
John Phillips Soul and His Stone Marching Band - That Memphis Thing (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=hsi8nnSubFE,drum-break-youtube-ingest
The Keith Mansfield Orchestra - Soul Thing (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=MiNThX6Bnas,drum-break-youtube-ingest
Ben E. King - What Is Soul? (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=w2fxLdy-5MA,drum-break-youtube-ingest
Muddy Waters - Mannish Boy [version 1968] (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=kpHq-PngbT0,drum-break-youtube-ingest
Dorothy Ashby - Soul Vibrations (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=ouwEjLE481k,drum-break-youtube-ingest
"The Scorpio Brothers - Freedom [US, Psych Monster] (1974) -- Drum Break",Funkatastrophe,soul,1960s,https://www.youtube.com/watch?v=pVG74t_bupk,drum-break-youtube-ingest
[DRUM BREAK] Alan Thicke - Passing By Tomorrow (1970),Canadian Cult Classics,soul,1960s,https://www.youtube.com/watch?v=Pvw6CRVjUIY,drum-break-youtube-ingest
Les McCann - North Carolina - Drum Break,drumbreakhunter,funk,1960s,https://www.youtube.com/watch?v=b2wClAe0udc,drum-break-youtube-ingest
Gwen McCrae - Funky Sensation (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=vvPNTEOzjhw,drum-break-youtube-ingest
Bobby Allen and The Exceptions - Soul Chicken (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=eHMYvOg4YJU,drum-break-youtube-ingest
Bryan Ferry - You Got To My Head (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=sqFJSsv3N5Y,drum-break-youtube-ingest
