youtubeId,title,channel,bpm,key
hKwCRJfiHBo,"Classic Latin Romance, Baladas, Boleros, Grupo Romántico [Vinyl Studio Session] with DJ Pax",Humano Studios,103,Em
H0j_xIm4fW0,Jazz Bossa Nova C minor | Guitar Jam Track,AUsher Tracks,,
9om6GIyNxTA,Jazz-Fusion &amp; Soulful Rare Groove // Smokin&#39; with Friends 1/2 // Vinyl Selection,Chilled Sundays™,144,Cm
WuvaeNNnSM0,Obscure - Majhrate Chad Jodi (Unplugged Audio),Obscure Bangladesh,96,Gm
zC4apMKCWsA,MORNING GROOVE VIETNAMESE 80s~00s | MIX BY SMALL MOUSE,SMALL MOUSE,,
p3p13fe8OW0,In A Persian Market | Enoch Light | Terry Snyder | Persuasive Percussion Vol 2 | 1959 Command LP,anconia's place,99,Am
JElyhCKzhWI,vintage jazz on a rainy 1940s night | cozy ambience to relax,Lepreezy,,
joRy19YwsWc,"101 &quot;SATSLIDE&quot; (obscure, ultra rare song, sample / loop pack)",Obscur8,89,G#m
8Asgi27L97s,Billy Bailey - Time Ain&#39;t Long (Rare Gospel / Sweet Soul Vinyl Rip),Crates LA,123,F#m
einsjaFvsYA,The Willow Band - Willowman - Latin Funk Disco Rare Groove,Funky Brandino,,
U4wAGJhWsZ0,Rare 70’s Soul Funk (1975) [Unheard Demos] – James Brown Style Grooves,Soul Vintage,152,F#m
Lr_HF3CFH-I,"VINTAGE 70´S SOUL/JAZZ RARE SAMPLES &quot;WELCOME&quot; Sample Kit (Alchemist, MF DOOM, Old Kanye, Griselda)",Sound Dealer Samples,,
rVHRxGMyoYs,"FREE SAMPLE PACK “Moondust” (20 rare soul, funk, jazz &amp; library loops &amp; samples)",KlaasVaak BEATS,112,Cm
3oofyLCxOVg,"&#39;70s Indonesian Psych, Funk &amp; Disco with Westside MuzeeQ",MAJ,161,C#m
A3Bzb8s99PU,Sheila Dionn - Suddenly Somewhere - Boogie Modern Soul Disco Rare Groove,Funky Brandino,,
iXchWUgWlcw,Relax Music - Bossa Nova Beach - Bossa Nova with Ocean Waves for Relax,Relax Music,,
c2Cc-6nT0S4,"Jazz Noir - Soft Jazz Music for Foggy Nights, Rainy Days, Solitude and Broken Hearts",Lounge Music,,
TeCygDPdB8M,Hundreds of RARE Vinyl Records at the Colorado Record Show!,Mountain Man Picker,,
CjGcbRq1J0c,GROOVY MIXTURE !!!! [RARE GROOVE RECORDS  - FOR FUNKY PEOPLE - SELECTION 👉SENIOR DREEF ),FUNKTASTIC GROOVES,136,D#m
5FqVvCxFkhU,1970s Jazz Vinyl: Under the Radar Genius,Jazz Vinyl Audiophile Ken Micallef,,
j43ZnE6wBrs,My Instrumental Samples made with FL Studio,Script13,,
pt7Ltf-wjbY,Ahmad Jamal - Black Cow,Marcelo Donati,,
28BPjlsbeSg,The Funky Free -  Ride Your Mule (Very rare record) - 1970,Sound Of Music - Mario Aldini,,
8pKMuNF6m48,Crunk Beat Sampled,mr1cee,,
e73O1x6PFSE,Pat Metheny - Jazz Fusion,LiloDub,123,Cm
i3egTE9_Hwk,D. R. Hooker -  Forge Your Own Chains,nightimelady,,
lC51hus8il4,Ocean - Funnier Man,wormpiano,112,Am
3gp0jJu26X4,Montrose - Rock Candy - Drum Break,funkprovida2,152,C#m
Z0Wyi0je5fY,BERNARD PURDIE SOUL DRUMS,KAISERKRAUT,,
zokHE7g3jsg,Frankenstein Wears Cheap Sunglasses,fatteddie,,
dUcgzaAxwIw,Freaky Psychedelic Jazz Guitar,Christo355,129,D#m
5H-CzMdTFa4,Freddy just em &quot;Bossa Nova 50 anos e suas Influências&quot;,Freddy Just,,
xMwmiUebuAo,&quot;Cross This World&quot; - Psychedelic,IamJoeDestruction,,
PtIxpvH8Bp8,Freestyle Beats Funky Jazz Rap,R Oliemuller,,
OiwXhaYbIPo,Whitefield Brothers - In The Raw (Funk 45),deejayTORO,161,Dm
v81k9f8jsNg,Rare Rockabilly Johnny Bell Flip Flop And Fly Brunswick,RealSwampcat,,
VsVZdF5OnSs,Grand Funk Live - T.N.U.C.(with drum solo),duderock48,,
